Match,R1,R2,R3,B1,B2,B3
309,6147,948,9072,188,5472,148
310,294,6996,1710,360,10077,2228
311,1730,5535,868,343,8590,2412
312,4499,1502,6431,7415,10014,5406
313,624,1807,6665,3655,1880,5124
314,7444,930,7538,9787,2429,7531
315,10428,3538,3937,449,1072,3044
316,2974,6328,4091,2910,5553,4272
317,5843,5142,7426,3008,7617,4905
318,422,2635,7563,1323,5468,1778
319,4909,1825,9085,6459,5026,2832
320,7565,1388,2412,2468,188,10014
321,108,148,868,6665,5124,294
322,6996,343,1502,6738,9072,930
323,5406,6431,6147,1072,2429,624
324,6940,2228,2910,4499,10428,7531
325,7444,7617,3655,6328,10077,5553
326,1710,2974,1807,3008,422,10523
327,7563,4909,4091,3044,8590,3538
328,9085,1778,1880,5142,449,1388
329,5026,9787,1825,1323,5843,3847
330,2468,1730,7415,5472,7538,4905
331,5535,125,7565,2832,2635,5468
332,948,360,4272,7426,6459,3937
333,343,7617,2910,1502,294,188
334,9072,2228,6665,2412,1807,1072
335,3008,624,10014,868,5553,6996
336,148,3044,4499,422,1710,2429
337,6431,2974,5026,930,1388,6940
338,3538,1323,7538,1880,10523,6328
339,5535,9085,5843,6738,7415,7565
340,2635,4905,5124,6459,948,5406
341,4091,7444,125,10428,7426,1778
342,7563,9787,1730,449,360,1825
343,8590,6147,108,3655,3937,2832
344,3847,2468,5472,4272,7531,4909
345,10077,5142,294,5468,2412,188
346,2429,868,1502,2228,3538,1880
347,10014,9085,2910,1323,1072,5535
348,5553,7565,948,3044,1807,6431
349,7415,3008,6328,2635,9072,148
350,6996,449,5026,7538,4499,125
351,2974,5843,6459,1778,108,624
352,8590,2468,10428,6147,360,6738
353,9787,5472,10523,4091,2832,5142
354,7426,3847,5124,10077,7563,930
355,4905,4272,5468,3655,343,6665
356,1388,7531,1825,7617,1710,3937
357,5406,422,7444,4909,6940,1730
358,116,2199,1599,1640,888,5587
359,422,2186,1895,449,9992,1731
360,5549,1885,6239,5338,5830,8592
361,4638,9033,614,9072,9998,2106
362,1389,686,5243,8230,1915,620
363,1262,888,422,2377,6239,2186
364,5549,449,5338,2199,9072,614
365,8230,1731,2106,1640,620,1599
366,1389,1262,1895,9998,8592,116
367,1915,2377,9992,9033,1885,5243
368,5587,5830,1731,686,4638,888
369,2106,1599,5338,449,1389,2186
370,6239,9033,9998,2199,8230,1885
371,9992,614,5830,116,1262,1915
372,1640,2377,9072,620,8592,686
373,4638,5587,1895,5243,422,5549
374,888,5338,1389,9033,1262,449
375,2186,686,1640,1885,9998,614
376,620,2377,116,2199,4638,6239
377,5830,1599,1915,9072,1895,5549
378,2106,5587,8592,422,9992,8230
379,1731,686,9998,5243,6239,449
380,1895,620,9033,614,2186,1262
381,888,5830,8230,1599,5549,9992
382,422,9072,1885,1389,116,5587
383,8592,1915,2199,5338,1731,4638
384,2377,5243,5830,2106,449,1640
385,686,614,6239,1599,422,1389
386,4638,9072,8230,1885,1895,888
387,9992,2106,620,9998,5338,2199
388,1731,1640,116,1262,5549,2377
389,5587,5243,1915,2186,8592,9033
390,449,2199,422,5830,620,1885
391,9992,1640,4638,6239,1389,9072
392,2186,116,5549,2106,9033,686
393,8592,1731,5243,614,888,1599
394,1895,8230,9998,5338,5587,2377
395,6239,2106,1262,1915,449,1885
