scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
AW,7,R2,539,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,2,0,3,0,,FALSE,P,FALSE,,0,4,,,,
SY,8,B1,449,R3,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,3,2,5,,FALSE,P,FALSE,,0,5,,,Oliver :),
FL,8,B2,10370,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,P,FALSE,,0,3,,,,
AW,8,R2,617,R3,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,,
LJ,8,R1,346,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,2,2,0,,FALSE,P,FALSE,,0,3,,,Slow intake,
RX,8,B3,339,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,1,0,0,,FALSE,P,FALSE,,0,3,,,,
KO,8,R3,6326,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,4,,,Defended during all of teleop,
AW,9,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,1,1,1,0,0,,FALSE,P,FALSE,,0,2,,,"Floppy manipulator, almost tipped over once",
SY,9,B1,9214,R3,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,1,,,"Bad intake, strange",
FL,9,B2,1599,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,TRUE,D,FALSE,,0,3,,,,
Frank,9,B3,8592,R3,FALSE,FALSE,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,5,,TRUE,S,TRUE,,0,5,,,Very good. Saved teammate and bad depth perception,
LJ,9,R1,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,"Defense bot, very wobbly manip and elevator, slow",
Gl,9,R3,1895,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,,TRUE,P,FALSE,,0,3,,,,
AW,10,R2,2988,B1,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,,
SY,10,B1,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,,FALSE,No,FALSE,,0,1,,,,
GL,10,R3,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,,FALSE,No,FALSE,,0,3,,,None,
LJ,10,R1,540,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,,FALSE,No,FALSE,,0,4,,,"Coral got stuck in robot 3 times, had to dislodge",
