scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,5,B3,5843,M,FALSE,TRUE,0,0,0,0,1,FALSE,TRUE,0,0,2,0,1,2,2,0,TRUE,D,FALSE,0,0,3,NA,,"Slow robot, slow cycling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,5,R1,6665,M,FALSE,TRUE,1,0,0,0,0,FALSE,TRUE,0,0,2,7,0,0,0,0,TRUE,D,FALSE,0,0,5,NA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,5,R3,8590,F,FALSE,TRUE,1,0,0,0,0,TRUE,FALSE,0,0,0,2,6,9,0,1,FALSE,P,TRUE,0,0,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,5,R2,7563,C,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,1,0,0,8,2,FALSE,P,TRUE,0,0,3,NA,,L1 was a missed L4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,5,B2,6940,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,0,0,0,0,3,0,FALSE,No,FALSE,0,0,4,di,,"Cycled really quickly before disabling, beached as soon as they re-enabled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,5,B1,1710,C,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,1,2,0,0,3,5,0,1,TRUE,D,FALSE,0,0,3,NA,,"Fluid movement, good alignment, little top-heavy and inconsistent net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,6,R3,1502,C,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,3,0,TRUE,D,TRUE,0,2,3,NA,"0,4","Pretty slow cycles, got defended, ineffective defense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,6,R1,1778,F,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,0,6,7,4,0,FALSE,P,TRUE,0,4,5,NA,"0,7","Brief defense, scored in opponent’s processor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,6,B2,7531,C,FALSE,TRUE,1,1,0,0,0,TRUE,TRUE,2,1,0,0,2,3,2,2,FALSE,P,TRUE,0,0,3,NA,,"Slow to intake algae, l1 during auto was a missed l4 attempt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,6,R2,10014,M,FALSE,TRUE,0,0,0,0,1,TRUE,TRUE,0,2,2,0,2,2,0,0,TRUE,D,TRUE,0,0,3,NA,7,"Manip kept dropping algae, during auto tried to score in the barge but missed twice(shown in robo net missed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
