scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
BH,13,B3,888,C,FALSE,FALSE,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,5,0,FALSE,P,FALSE,0,0,3,NA,,
GL,13,B1,2377,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,1,0,0,0,FALSE,No,FALSE,0,0,3,cs,,Dislodged stuck coral
LJ,13,B2,449,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,5,5,2,2,FALSE,No,FALSE,0,0,4,NA,2,"Top stage elevator broke, interrupted auto, stopped l4, wrist also seemingly broke? "
JY,13,R3,7770,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,4,FALSE,P,FALSE,0,0,1,NA,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,14,R1,10449,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,No,FALSE,0,0,1,NA,,Lacks understanding of how the game works
BH,14,B3,9709,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0,FALSE,No,FALSE,0,1,2,NA,0,Got coral stuck in the bot
LJ,14,B2,3793,C,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,2,FALSE,No,FALSE,0,0,1,NA,"5,4","Seemingly L1 only, dropped many coral, lot of idle time"
GL,14,B1,10224,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,1,0,3,2,1,FALSE,No,FALSE,0,0,3,NA,2,None
SBS,14,R2,8622,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,2,0,2,FALSE,P,FALSE,0,0,3,NA,,
