scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
TC,7,R1,1731,C,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,1,7,0,TRUE,D,FALSE,0,0,4,NA,,
JA,7,R2,6863,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,3,0,1,FALSE,P,FALSE,0,0,3,NA,,
GEH,7,B2,1908,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,1,1,TRUE,D,TRUE,0,0,3,NA,6,Cycling time was slow and robot spent a lot of time positioning to score coral.
CVC,7,R1,8622,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,3,4,0,0,FALSE,P,FALSE,0,0,3,NA,,"Did pretty basic, good placement of coral though, didn41391t miss any placement"
Ashwin,7,R3,8230,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,TRUE,0,5,4,NA,0,Only played defense. Caused opposing team to miss around 66% of coral intakes
TC,8,R1,6213,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,1,de,,
GEH,8,B2,3748,M,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,1,6,0,0,TRUE,P,FALSE,0,0,5,NA,,Pushed teammate out of starting line during auto. Very consistent with L3.
JA,8,R2,3136,C,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,4,4,1,TRUE,P,TRUE,0,0,4,NA,,
BH,8,B1,346,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,,Wobbly bot 
CVC,8,R1,620,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,1,0,4,1,0,2,4,FALSE,No,FALSE,0,0,3,NA,,"Driver kept misaligning, causing their missing shots, when they seemingly failed to do the higher levels they started to score in L1"
Ashwin,8,R3,1629,M,FALSE,TRUE,0,0,0,1,TRUE,TRUE,1,0,2,0,3,2,2,1,TRUE,P,FALSE,0,0,4,NA,,Scored both processor shots during auto. Very well-rounded (smooth driving and quick with intake and scoring)
JA,9,R2,3559,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,3,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,5,Has some anti tip
MF,9,B2,8592,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,1,2,2,2,1,1,1,2,TRUE,D,FALSE,0,0,2,ba,,Swinging deep climb
CVC,9,R1,3373,F,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,5,1,TRUE,D,FALSE,0,0,3,NA,1,"A Little Slow in speed, had trouble scoring sometimes, seems to be slower at lower reef levels"
Ashwin,9,R3,2186,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,1,TRUE,P,TRUE,0,0,3,NA,"1,5",
AX,9,B1,449,C,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,5,4,3,9,TRUE,P,TRUE,0,0,4,NA,,"Missed L4 coral in auto, struggled with ground intake during last 15 seconds and wasn41391t able to score anymore coral"
TC,9,R1,339,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,3,NA,,
JA,10,R2,9072,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,1,0,0,0,1,1,5,0,TRUE,P,FALSE,0,0,5,NA,,The goats
BH,10,B1,1111,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,0,de,,:(
GL,10,B2,6802,C,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,1,0,0,2,1,FALSE,P,FALSE,0,0,2,cs,2,"Overall kinda slow, post coral stuck didn41391t try defense (but it was late so41389 eh?). Failed scoring several times."
Ashwin,10,R3,686,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,0,0,2,3,0,0,TRUE,P,TRUE,0,0,3,NA,1,Wobbled almost 4 times by crashing into other bots and crashing into reef
CVC,10,R1,614,M,FALSE,TRUE,0,0,1,0,TRUE,FALSE,0,0,0,6,1,0,0,3,FALSE,No,FALSE,0,0,3,NA,,"Two coral Intakes, one ground intake for L1 & another for loading and higher levels, doesn41391t seem to be able to do L4 & missed a lot of shots L2-L3"
TC,10,R1,1895,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,5,4,0,TRUE,D,FALSE,0,0,3,NA,,Froze during auto. Slow outtake one time.
JJ,11,R2,4541,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,2,0,FALSE,No,FALSE,0,0,3,di,,Looks like they lost control of the drive before they disabled. Broke during the match 
