scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
MH,43,R1,3767,,TRUE,TRUE,0,0,0,0,1.88428571,TRUE,FALSE,1.11,0,0.39,1.29,5.21,4.59,4.85,0,TRUE,D,FALSE,0,0,0,,,
MH,44,R2,3940,,TRUE,TRUE,0,0,0,0,2.15,TRUE,FALSE,0.75,0,0.31,3.42,3.61,4.64,5,0,TRUE,D,FALSE,0,0,0,,,
MH,45,R3,4028,,TRUE,TRUE,0,0,0,0,2.33714286,TRUE,FALSE,3.01,0,0.8,1.08,3.36,4.04,4.17,0,TRUE,D,FALSE,0,0,0,,,
MH,46,B1,4143,,TRUE,TRUE,0,0,0,0,1.46285714,TRUE,FALSE,1.74,0,0.83,1.56,3.51,3.17,4.24,0,TRUE,D,FALSE,0,0,0,,,
MH,47,B2,4145,,TRUE,TRUE,0,0,0,0,2.05428571,TRUE,FALSE,2.43,0,0.9,1.12,3.72,4.11,4.71,0,TRUE,D,FALSE,0,0,0,,,
MH,48,B3,4499,,TRUE,TRUE,0,0,0,0,2.48428571,TRUE,FALSE,2.31,0,0.32,2.7,3.71,4.71,4.15,0,TRUE,D,FALSE,0,0,0,,,
MH,49,R1,4590,,TRUE,TRUE,0,0,0,0,2.02857143,TRUE,FALSE,1.4,0,0.36,0.74,4.61,4.68,4.35,0,TRUE,D,FALSE,0,0,0,,,
MH,50,R2,4635,,TRUE,TRUE,0,0,0,0,1.96857143,TRUE,FALSE,1.66,0,0.13,1.91,4.87,4.5,5.89,0,TRUE,D,FALSE,0,0,0,,,
MH,51,R3,4646,,TRUE,TRUE,0,0,0,0,1.47,TRUE,FALSE,1.75,0,0.9,1.62,3.32,3.44,4.95,0,TRUE,D,FALSE,0,0,0,,,
MH,52,B1,4655,,TRUE,TRUE,0,0,0,0,2.63571429,TRUE,FALSE,1.48,0,0.42,1.2,3.59,4.75,5.95,0,TRUE,D,FALSE,0,0,0,,,
MH,53,B2,4926,,TRUE,TRUE,0,0,0,0,1.89714286,TRUE,FALSE,0,0,0.28,1.54,2.67,2.53,4.64,0,TRUE,D,FALSE,0,0,0,,,
MH,54,B3,5687,,TRUE,TRUE,0,0,0,0,2.93,TRUE,FALSE,1.36,0,0.89,2.64,4.85,4.34,5.09,0,TRUE,D,FALSE,0,0,0,,,
MH,55,R1,5907,,TRUE,TRUE,0,0,0,0,1.46,TRUE,FALSE,0.75,0,0.54,1.42,5.45,4.98,4.31,0,TRUE,P,FALSE,0,0,0,,,
MH,56,R2,7457,,TRUE,TRUE,0,0,0,0,3.07285714,TRUE,FALSE,2.29,0,0.38,3.54,6.69,6.49,5.91,0,TRUE,D,FALSE,0,0,0,,,
MH,57,R3,8044,,TRUE,TRUE,0,0,0,0,1.73,TRUE,FALSE,2.75,0,0.6,2.96,4.81,4.42,3.99,0,TRUE,D,FALSE,0,0,0,,,
MH,58,B1,9015,,TRUE,TRUE,0,0,0,0,1.42571429,TRUE,FALSE,0.65,0,0.17,2.77,2.05,2.6,5.91,0,TRUE,D,FALSE,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
