scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,auto_coral_missed,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
SR,15,R1,2988,R2,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,1,NA,,
YR,15,B3,1086,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,3,1,0,3,0,0,FALSE,P,FALSE,0,0,3,NA,,
JJ,15,B2,9214,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,Still able to occasionally move their subsystem.
YZ,15,R2,5804,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,0,FALSE,P,FALSE,0,0,2,NA,,
MH,15,B1,614,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
YZ,16,R2,1522,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,4,2,0,FALSE,P,FALSE,0,0,3,NA,,Very slow elevator
BH,16,B1,1895,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,5,0,FALSE,P,FALSE,0,0,3,NA,,
JJ,16,B2,3373,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,P,FALSE,0,0,3,NA,,Defended
AZ,16,R3,9709,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,3 major fouls in 2 secs
YR,16,B3,9003,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,3,2,0,FALSE,P,FALSE,0,0,1,NA,,
RN,16,R1,1262,R1,FALSE,TRUE,1,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,0,FALSE,P,FALSE,0,0,2,NA,,spun fast randomly multiple times
YZ,17,R2,3361,R1,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
BH,17,B1,6326,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,Defense
AY,17,R3,339,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,,"Tried defense, did nothing"
JJ,17,B2,10224,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,6,0,FALSE,No,FALSE,0,0,3,NA,,Intake very forgiving for hp
RN,17,R1,1599,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,0,FALSE,No,FALSE,0,0,2,NA,,
YR,17,B3,4505,R2,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,0,FALSE,P,FALSE,0,0,2,NA,,
JJ,18,B2,539,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,"Missed an auto l2, elevator died, coral stuck"
AY,18,R3,2998,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,Missed some L1
YZ,18,R2,2988,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,FALSE,0,0,1,NA,,Defense
BH,18,B1,4286,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,Got a foul during auto
YR,18,B3,5804,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,0,FALSE,P,FALSE,0,0,1,NA,,
RN,18,R1,346,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,0,0,4,0,FALSE,P,FALSE,0,0,3,NA,,
AY,19,R3,449,R3,FALSE,TRUE,0,0,0,1,0,TRUE,FALSE,0,0,0,0,2,4,7,0,FALSE,No,FALSE,0,0,5,NA,,
JJ,19,B2,9709,R2,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,"Drive never moved, elevator did."
BH,19,B1,5724,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,1,1,0,0,0,0,FALSE,No,FALSE,0,0,4,NA,,
YR,19,B3,614,R1,FALSE,TRUE,1,0,0,0,0,FALSE,TRUE,0,0,1,4,1,0,0,0,TRUE,P,FALSE,0,0,3,NA,,
RN,19,R1,1895,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,2,3,0,FALSE,No,FALSE,0,0,3,NA,,
JJ,20,B2,339,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,2,0,0,0,FALSE,P,FALSE,0,0,3,NA,,
BH,20,B1,9214,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,Defense
YZ,20,R2,9003,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,2,0,FALSE,No,FALSE,0,0,4,NA,,
YR,20,B3,6802,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,1,NA,,
RN,20,R1,10257,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,1,0,0,1,0,0,FALSE,P,FALSE,0,0,2,NA,,
AY,20,R3,4505,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,Took multiple shots; bad aim
AY,21,R3,6326,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,Defense
YR,21,B3,1262,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,2,5,0,0,FALSE,P,FALSE,0,0,3,NA,,
RN,21,R1,404,R2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,
SZ,21,B2,2106,R3,FALSE,TRUE,0,0,0,1,0,TRUE,FALSE,0,0,2,0,0,0,4,0,FALSE,P,FALSE,0,0,5,NA,,
JY,21,R2,8592,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,6,0,0,TRUE,D,TRUE,0,0,4,NA,,coral stuck briefly
AY,22,R3,10370,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,
YR,22,B3,10224,R3,FALSE,TRUE,0,0,0,1,0,FALSE,FALSE,0,0,0,1,0,0,3,0,FALSE,No,FALSE,0,0,1,NA,,
RN,22,R1,540,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,7,2,0,0,FALSE,No,FALSE,0,0,3,NA,,
SZ,22,B2,1599,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,0,TRUE,D,TRUE,0,0,4,NA,,Missed intake a lot
RL,22,B1,3373,R2,FALSE,TRUE,0,0,0,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,FALSE,0,0,3,NA,,"Coral intake stuck in robot + tippy, okish defense"
JY,22,R2,1731,R2,FALSE,TRUE,0,0,0,1,0,TRUE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,FALSE,0,0,3,NA,,"defense, coral may have gotten stuck o just faile"
SR,23,R1,1086,R2,FALSE,TRUE,0,0,0,1,0,TRUE,FALSE,0,0,1,1,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,
YR,23,B3,1895,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,2,0,FALSE,P,FALSE,0,0,3,NA,,
JY,23,R2,3258,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,Kitbot
RL,23,B1,1522,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,1,1,0,1,0,0,FALSE,No,FALSE,0,0,2,NA,,"Elevator slow asf, wobbly in all directions"
SZ,23,B2,3361,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,4,NA,,Attempted defense?
WR,23,R3,9003,,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,0,FALSE,P,FALSE,0,0,2,NA,,
JY,24,R2,4286,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,,
SR,24,R1,404,R3,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,4,0,0,0,0,0,FALSE,No,FALSE,0,0,1,NA,,
WR,24,R3,404,,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,3,0,4,0,0,0,0,0,FALSE,No,FALSE,0,0,4,NA,,
SZ,24,B2,10257,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,0,FALSE,P,FALSE,0,0,4,NA,,
YR,24,B3,346,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,0,FALSE,P,FALSE,0,0,1,NA,,
RL,24,B1,339,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,,
YR,25,B3,449,R1,FALSE,TRUE,0,0,0,2,0,TRUE,FALSE,0,0,0,0,5,3,2,0,FALSE,P,FALSE,0,0,4,NA,,
WR,25,R3,1262,,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,2,0,0,0,FALSE,No,FALSE,0,0,2,NA,,
SZ,25,B2,2106,R3,FALSE,TRUE,0,0,0,2,0,FALSE,FALSE,0,0,0,5,0,2,0,0,FALSE,P,FALSE,0,0,5,NA,,
SR,25,R1,540,R2,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,0,FALSE,No,FALSE,0,0,2,NA,,
RL,25,B1,9214,R2,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
JY,25,R2,10224,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,0,FALSE,No,FALSE,0,0,3,NA,,
YR,26,B3,3361,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,
SZ,26,B2,1086,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,0,FALSE,P,FALSE,0,0,5,NA,,
JY,26,R2,10370,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,
RL,26,R1,1522,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,1,0,0,FALSE,P,FALSE,0,0,3,NA,,
