scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,
KO,8,R3,6326,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,Defended during all of teleop
AW,9,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,1,1,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,"Floppy manipulator, almost tipped over once"
SY,9,B1,9214,R3,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,"Bad intake, strange"
FL,9,B2,1599,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,TRUE,D,FALSE,3,FALSE,No Card,
Frank,9,B3,8592,R3,FALSE,FALSE,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,5,TRUE,S,TRUE,5,FALSE,No Card,Very good. Saved teammate and bad depth perception
LJ,9,R1,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,"Defense bot, very wobbly manip and elevator, slow"
Gl,9,R3,1895,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,TRUE,P,FALSE,3,FALSE,No Card,
AW,10,R2,2988,B1,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
SY,10,B1,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,
GL,10,R3,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,None
LJ,10,R1,540,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,FALSE,No,FALSE,4,FALSE,No Card,"Coral got stuck in robot 3 times, had to dislodge"
FL,10,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,FALSE,P,FALSE,3,FALSE,No Card,Sort of effective defense. Helped404
Frank,10,B3,10257,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Sort of effective defense. Helped404
GL,11,R3,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,
JJ,11,B3,5724,R3,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,0,1,0,FALSE,P,FALSE,2,FALSE,No Card,
YZ,11,B1,3361,R2,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
BH,11,R1,5804,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,FALSE,P,FALSE,3,FALSE,No Card,
AM,11,B2,1262,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,0,FALSE,No,FALSE,3,FALSE,No Card,
NY,11,R2,4505,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,FALSE,No,FALSE,2,TRUE,No Card,
RN,12,B3,4286,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,
YZ,12,B1,9003,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,2,3,FALSE,P,FALSE,4,FALSE,No Card,
GL,12,R3,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
BH,12,R1,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,0,0,2,5,5,FALSE,D,FALSE,3,FALSE,No Card,
AM,12,B2,346,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,2,0,FALSE,P,FALSE,3,FALSE,No Card,
SR,12,R2,1086,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,FALSE,P,FALSE,2,FALSE,No Card,
YR,13,B3,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,
JJ,13,B2,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,
AY,13,R3,540,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,6,5,0,FALSE,No,FALSE,4,FALSE,No Card,
KO,13,R2,10257,R2,FALSE,TRUE,0,0,0,0,FALSE,TRUE,1,0,1,0,0,0,1,FALSE,P,FALSE,3,FALSE,No Card,
EG,13,R1,2106,R1,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,1,2,5,TRUE,P,FALSE,4,FALSE,No Card,
BH,13,B1,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,
YR,14,B3,539,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,0,FALSE,P,FALSE,1,FALSE,No Card,
YZ,14,R2,5724,R1,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,
JJ,14,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Their coral intake is really bad
BH,14,B1,2998,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,Good defense
SR,14,R1,1731,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,5,TRUE,D,FALSE,4,FALSE,No Card,Recount tele coral
MH,14,R3,449,R2,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,4,2,5,FALSE,P,FALSE,5,FALSE,No Card,
SR,15,R1,2988,R2,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,
